Node394	 	 x:-0.5	 y:-1	 	0
Node395	 	 x:-0.4	 y:-1	 	0
Node396	 	 x:-0.3	 y:-1	 	1
Node397	 	 x:-0.2	 y:-1	 	1
Node398	 	 x:-0.1	 y:-1	 	1
Node399	 	 x:0	 y:-1	 	1
Node400	 	 x:0.1	 y:-1	 	1
Node401	 	 x:0.2	 y:-1	 	1
Node402	 	 x:0.3	 y:-1	 	1
Node403	 	 x:0.4	 y:-1	 	0
Node404	 	 x:0.5	 y:-1	 	0
Node405	 	 x:0.6	 y:-1	 	0
Node406	 	 x:0.7	 y:-1	 	1
Node407	 	 x:0.8	 y:-1	 	1
Node408	 	 x:-0.8	 y:-1.1	 	1
Node409	 	 x:-0.7	 y:-1.1	 	1
Node410	 	 x:-0.6	 y:-1.1	 	1
Node411	 	 x:-0.5	 y:-1.1	 	1
Node412	 	 x:-0.4	 y:-1.1	 	1
Node413	 	 x:-0.3	 y:-1.1	 	1
Node414	 	 x:-0.2	 y:-1.1	 	1
Node415	 	 x:-0.1	 y:-1.1	 	1
Node416	 	 x:0	 y:-1.1	 	1
Node417	 	 x:0.1	 y:-1.1	 	1
Node418	 	 x:0.2	 y:-1.1	 	1
Node419	 	 x:0.3	 y:-1.1	 	1
Node420	 	 x:0.4	 y:-1.1	 	0
Node421	 	 x:0.5	 y:-1.1	 	0
Node422	 	 x:0.6	 y:-1.1	 	0
Node423	 	 x:0.7	 y:-1.1	 	1
Node424	 	 x:0.8	 y:-1.1	 	1
Node425	 	 x:-0.8	 y:-1.2	 	1
Node426	 	 x:-0.7	 y:-1.2	 	1
Node427	 	 x:-0.6	 y:-1.2	 	1
Node428	 	 x:-0.5	 y:-1.2	 	1
Node429	 	 x:-0.4	 y:-1.2	 	1
Node430	 	 x:-0.3	 y:-1.2	 	1
Node431	 	 x:-0.2	 y:-1.2	 	1
Node432	 	 x:-0.1	 y:-1.2	 	1
Node433	 	 x:0	 y:-1.2	 	1
Node434	 	 x:0.1	 y:-1.2	 	1
Node435	 	 x:0.2	 y:-1.2	 	1
Node436	 	 x:0.3	 y:-1.2	 	1
Node437	 	 x:0.4	 y:-1.2	 	0
Node438	 	 x:0.5	 y:-1.2	 	0
Node439	 	 x:0.6	 y:-1.2	 	0
Node440	 	 x:0.7	 y:-1.2	 	1
Node441	 	 x:0.8	 y:-1.2	 	1
Node442	 	 x:-0.8	 y:-1.3	 	1
Node443	 	 x:-0.7	 y:-1.3	 	1
Node444	 	 x:-0.6	 y:-1.3	 	1
Node445	 	 x:-0.5	 y:-1.3	 	1
Node446	 	 x:-0.4	 y:-1.3	 	1
Node447	 	 x:-0.3	 y:-1.3	 	1
Node448	 	 x:-0.2	 y:-1.3	 	1
Node449	 	 x:-0.1	 y:-1.3	 	1
Node450	 	 x:0	 y:-1.3	 	1
Node451	 	 x:0.1	 y:-1.3	 	1
Node452	 	 x:0.2	 y:-1.3	 	1
Node453	 	 x:0.3	 y:-1.3	 	1
Node454	 	 x:0.4	 y:-1.3	 	0
Node455	 	 x:0.5	 y:-1.3	 	0
Node456	 	 x:0.6	 y:-1.3	 	0
Node457	 	 x:0.7	 y:-1.3	 	1
Node458	 	 x:0.8	 y:-1.3	 	1
